DATE,SALES/REVENUE,FACEBOOK,GOOGLE,INSTAGRAM,E-MAIL,NEWSPAPER,BANNERS & POSTERS,TV MEDIA,SMS,TELEPHONE MARKETING,ROADSHOWS/EVENTS,OTHERS
01/11/2017,145715,2154,2154,2154,2154,2154,2154,1,2154,152,2154,2154
08/11/2016,141971,2154,2154,2154,2154,2154,2154,2,2154,2154,2154,2154
15/11/2016,144416,2154,2154,2154,2154,2154,2154,3,2154,2154,2154,2154
22/11/2016,143579,2154,2154,2154,2154,2154,2154,4,2154,54,2154,2154
29/11/2016,139134,2154,2154,2154,2154,2154,2154,5,2154,2154,2154,2154
06/12/2016,130534,2154,2154,2154,2154,2154,2154,6,2154,2154,2154,2154
13/12/2016,114756,2154,2154,2154,2154,2154,2154,7,2154,15,2154,2154
20/12/2016,60960,2154,2154,2154,2154,2154,2154,8,2154,2154,2154,2154
27/12/2016,89265,2154,2154,2154,2154,2154,2154,9,2154,2154,,2154
03/01/2017,145100,2154,2154,2154,2154,2154,2154,10,2154,2154,2154,2154
10/01/2017,151875,2154,2154,2154,2154,2154,2154,11,52,2154,2154,2154
17/01/2017,152778,2154,2154,2154,2154,2154,2154,12,2154,15400,2154,2154
24/01/2017,157424,2154,2154,2154,2154,2154,2154,13,2154,2154,2154,2154
31/01/2017,159038,2154,2154,2154,2154,2154,2154,,2154,2154,2154,2154
07/02/2017,155797,2154,2154,2154,2154,2154,2154,15,2154,2154,2154,2154
14/02/2017,161651,2154,2154,2154,2154,2154,2154,16,2154,2154,2154,2154
21/02/2017,158571,2154,2154,2154,2154,2154,2154,17,2154,2154,2154,2154
28/02/2017,154850,2154,2154,2154,2154,2154,2154,,2154,2154,2154,2154
06/03/2017,152014,2154,2154,2154,2154,2154,2154,19,2154,2154,2154,2154
13/03/2017,150330,2154,2154,2154,2154,2154,2154,20,2154,2154,2154,2154
20/03/2017,143039,2154,2154,2154,2154,2154,2154,21,2154,2154,2154,2154
27/03/2017,134721,2154,2154,2154,2154,2154,2154,22,2154,2154,2154,2154
03/04/2017,158905,2154,2154,2154,2154,2154,2154,23,2154,2154,2154,2154
10/04/2017,158188,2154,2154,2154,2154,2154,2154,24,2154,2154,2154,2154
17/04/2017,157373,2154,2154,2154,2154,2154,2154,25,2154,2154,2154,2154
24/04/2017,157680,2154,2154,2154,2154,2154,2154,26,2154,2154,2154,2154
01/05/2017,145290,2154,2154,2154,2154,2154,2154,27,2154,2154,2154,2154
08/05/2017,152966,2154,2154,2154,2154,2154,2154,28,2154,2154,2154,2154
15/05/2017,150136,2154,2154,2154,2154,2154,2154,29,2154,2154,2154,2154
22/05/2017,146806,2154,2154,2154,2154,2154,2154,30,2154,2154,2154,2154
29/05/2017,144834,2154,2154,2154,2154,2154,2154,31,2154,2154,2154,2154
05/06/2017,146669,2154,2154,2154,2154,2154,2154,32,2154,2154,2154,2154
12/06/2017,141385,2154,2154,2154,2154,2154,2154,33,2154,2154,2154,2154
19/06/2017,140167,2154,2154,2154,2154,2154,2154,34,2154,2154,2154,2154
26/06/2017,145110,2154,2154,2154,2154,2154,2154,35,2154,2154,2154,2154
03/07/2017,144310,2154,2154,2154,2154,2154,2154,36,2154,2154,2154,2154
10/07/2017,144022,2154,2154,2154,2154,2154,2154,37,2154,2154,2154,2154
17/07/2017,140993,2154,2154,2154,2154,2154,2154,38,2154,2154,2154,2154
24/07/2017,149341,2154,2154,2154,2154,2154,2154,39,2154,2154,2154,2154
31/07/2017,150076,2154,2154,2154,2154,2154,2154,40,2154,2154,2154,2154
07/08/2017,147663,2154,2154,2154,2154,2154,2154,41,2154,2154,2154,2154
14/08/2017,145944,2154,2154,2154,2154,2154,2154,42,2154,2154,2154,2154
21/08/2017,149208,2154,2154,2154,2154,2154,2154,43,2154,2154,2154,2154
28/08/2017,141522,2154,2154,2154,2154,2154,2154,44,2154,2154,2154,2154
04/09/2017,149098,2154,2154,2154,2154,2154,2154,45,2154,2154,2154,2154
11/09/2017,146508,2154,2154,2154,2154,2154,2154,46,2154,2154,2154,2154
18/09/2017,152085,2154,2154,2154,2154,2154,2154,47,2154,2154,2154,2154
25/09/2017,153438,2154,2154,2154,2154,2154,2154,48,2154,2154,2154,2154
02/10/2017,153703,2154,2154,2154,2154,2154,2154,49,2154,2154,2154,2154
09/10/2017,151189,2154,2154,2154,2154,2154,2154,50,2154,2154,2154,2154
16/10/2017,148921,2154,2154,2154,2154,2154,2154,51,2154,2154,2154,2154
23/10/2017,154555,2154,2154,2154,2154,2154,2154,52,2154,2154,2154,2154
30/10/2017,151608,2154,2154,2154,2154,2154,2154,53,2154,2154,2154,2154
06/11/2017,147500,2154,2154,2154,2154,2154,2154,54,2154,2154,2154,2154
13/11/2017,147240,2154,2154,2154,2154,2154,2154,55,2154,2154,2154,2154
20/11/2017,145078,2154,2154,2154,2154,2154,2154,56,2154,2154,2154,2154
27/11/2017,145650,2154,2154,2154,2154,2154,2154,57,2154,2154,2154,2154
04/12/2017,136970,2154,2154,2154,2154,2154,2154,58,2154,2154,2154,2154
11/12/2017,125022,2154,2154,2154,2154,2154,2154,59,2154,2154,2154,2154
18/12/2017,99453,2154,2154,2154,2154,2154,2154,60,2154,2154,2154,2154
25/12/2017,83156,2154,2154,2154,2154,2154,2154,61,2154,2154,2154,2154
01/01/2018,127660,2154,2154,2154,2154,2154,2154,62,2154,2154,2154,2154
08/01/2018,153100,2154,2154,2154,2154,2154,2154,63,2154,2154,2154,2154
15/01/2018,158739,2154,2154,2154,2154,2154,2154,64,2154,2154,2154,2154
22/01/2018,163288,2154,2154,2154,2154,2154,2154,65,2154,2154,2154,2154
29/01/2018,166148,2154,2154,2154,2154,2154,2154,66,2154,2154,2154,2154
05/02/2018,162005,2154,2154,2154,2154,2154,2154,67,2154,2154,2154,2154
12/02/2018,166432,2154,2154,2154,2154,2154,2154,68,2154,2154,2154,2154
19/02/2018,166913,2154,2154,2154,2154,2154,2154,69,2154,2154,2154,2154
26/02/2018,169715,2154,2154,2154,2154,2154,2154,70,2154,2154,2154,2154
05/03/2018,167880,2154,2154,2154,2154,2154,2154,71,2154,2154,2154,2154
12/03/2018,165602,2154,2154,2154,2154,2154,2154,72,2154,2154,2154,2154
19/03/2018,163236,2154,2154,2154,2154,2154,2154,73,2154,2154,2154,2154
26/03/2018,164988,2154,2154,2154,2154,2154,2154,74,2154,2154,2154,2154
02/04/2018,167304,2154,2154,2154,2154,2154,2154,75,2154,2154,2154,2154
09/04/2018,159433,2154,2154,2154,2154,2154,2154,76,2154,2154,2154,2154
16/04/2018,141596,2154,2154,2154,2154,2154,2154,77,2154,2154,2154,2154
23/04/2018,166465,2154,2154,2154,2154,2154,2154,78,2154,2154,2154,2154
30/04/2018,153282,2154,2154,2154,2154,2154,2154,79,2154,2154,2154,2154
07/05/2018,163695,2154,2154,2154,2154,2154,2154,80,2154,2154,2154,2154
14/05/2018,157048,2154,2154,2154,2154,2154,2154,81,2154,2154,2154,2154
21/05/2018,151186,2154,2154,2154,2154,2154,2154,82,2154,2154,2154,2154
28/05/2018,151044,2154,2154,2154,2154,2154,2154,83,2154,2154,2154,2154
04/06/2018,151025,2154,2154,2154,2154,2154,2154,84,2154,2154,2154,2154
11/06/2018,151278,2154,2154,2154,2154,2154,2154,85,2154,2154,2154,2154
18/06/2018,144734,2154,2154,2154,2154,2154,2154,86,2154,2154,2154,2154
25/06/2018,152511,2154,2154,2154,2154,2154,2154,87,2154,2154,2154,2154
02/07/2018,157039,2154,2154,2154,2154,2154,2154,88,2154,2154,2154,2154
09/07/2018,153475,2154,2154,2154,2154,2154,2154,89,2154,2154,2154,2154
16/07/2018,149661,2154,2154,2154,2154,2154,2154,90,2154,2154,2154,2154
23/07/2018,157251,2154,2154,2154,2154,2154,2154,91,2154,2154,2154,2154
30/07/2018,161153,2154,2154,2154,2154,2154,2154,92,2154,2154,2154,2154
06/08/2018,157720,2154,2154,2154,2154,2154,2154,93,2154,2154,2154,2154
13/08/2018,157326,2154,2154,2154,2154,2154,2154,94,2154,2154,2154,2154
20/08/2018,158213,2154,2154,2154,2154,2154,2154,95,2154,2154,2154,2154
27/08/2018,145389,2154,2154,2154,2154,2154,2154,96,2154,2154,2154,2154
